acl 2.2.52-3
adwaita-icon-theme 3.22.0-1
alsa-lib 1.1.3-1
alsa-tools 1.1.0-2
alsa-utils 1.1.3-1
archlinux-keyring 20170104-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
attr 2.4.47-2
avahi 0.6.32-3
aws-cli 1.11.36-2
bash 4.4.005-2
binutils 2.27-1
bzip2 1.0.6-5
c-ares 1.12.0-1
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.27.2-1
ca-certificates-utils 20160507-1
cabal-install 1.24.0.0-4
cairo 1.14.8-1
chromium 55.0.2883.87-1
compositeproto 0.4.2-3
coreutils 8.26-1
cracklib 2.9.6-1
cryptsetup 1.7.3-1
curl 7.52.1-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.14-1
dbus-glib 0.108-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
dhcpcd 6.11.5-1
diffutils 3.5-1
dmenu 4.6-1
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
e2fsprogs 1.43.3-1
emacs 25.1-3
expat 2.2.0-2
fakeroot 1.21-2
feh 2.18-1
ffmpeg 1:3.2.2-2
fftw 3.3.5-1
file 5.29-1
filesystem 2016.12-2
findutils 4.6.0-2
fixesproto 5.0-3
flac 1.3.1-3
fontconfig 2.12.1-4
fontsproto 2.1.3-1
freetype2 2.7.1-1
fribidi 0.19.7-1
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.3.1-1
gcc-libs 6.3.1-1
gconf 3.2.6-5
gd 2.2.3-3
gdbm 1.12-2
gdk-pixbuf2 2.36.3-2
gettext 0.19.8.1-2
ghc 8.0.1-1
giflib 5.1.4-1
git 2.11.0-2
glib2 2.50.2-1
glibc 2.24-2
gmp 6.1.2-1
gnupg 2.1.17-3
gnutls 3.4.17-1
gpgme 1.7.1-2
gpm 1.20.7-7
graphite 1:1.3.9-1
grep 2.27-1
groff 1.22.3-7
grub 1:2.02.beta3-6
gsm 1.0.16-1
gtk-update-icon-cache 3.22.6-1
gtk2 2.24.31-1
gtk3 3.22.6-1
guile 2.0.13-2
gzip 1.8-2
harfbuzz 1.4.1-1
harfbuzz-icu 1.4.1-1
haskell-data-default 0.7.1.1-4
haskell-data-default-class 0.1.2.0-1
haskell-data-default-instances-containers 0.0.1-13
haskell-data-default-instances-dlist 0.0.1-17
haskell-data-default-instances-old-locale 0.0.1-13
haskell-dlist 0.8.0.2-1
haskell-extensible-exceptions 0.1.1.4-14
haskell-mtl 2.2.1-6
haskell-old-locale 1.0.0.7-8
haskell-old-time 1.1.0.3-8
haskell-random 1.1-6
